,Acc,AccTopThree,Precision,Recall,F1Score
Train,0.9299431009957326,0.9937766714082503,0.93567747,0.9299431,0.9252549
Test,0.878022759601707,0.9859530583214794,0.88894325,0.87802273,0.8718147
