,clima/AC/on,media/selectedSource/Radio,car/charismaLevel/Tief,phone/Connect/NewDevice,clima/AC/ECO,car/charismaLevel/Mittel,car/driveMode/3.0,navi/Start/Favorite,car/Start/ParkAssistant,phone/goTo/Favorite,car/driveMode/3,phone/Call/PersonX,car/charismaLevel/Lift,car/ESS/on,car/driveMode/1.0,navi/Start/Address,car/driveMode/2.0,phone/Call/Favorite,car/driveMode/2,media/selectedSource/Bluetooth,car/charismaLevel/Abgesenkt,media/selectedSource/Favorite,clima/AC/off,media/selectedSource/CarPlay,phone/Start/AndroidAuto,phone/Start/CarPlay,car/driveMode/0.0,car/driveMode/0
Accuracy,0.75,0.9013120532035828,0.739130437374115,1.0,0.6764705777168274,0.8888888955116272,0.9840954542160034,0.8186619877815247,1.0,0.8292180895805359,0.6666666865348816,0.6111111044883728,0.699999988079071,0.699999988079071,0.6666666865348816,0.849056601524353,0.75,0.8070175647735596,0.5,0.9387755393981934,1.0,0.8831169009208679,0.7407407164573669,0.8121212124824524,0.5263158082962036,0.7647058963775635,0.9304589629173279,1.0
F1Score,0.8571428656578064,0.9005414843559265,0.8292682766914368,1.0,0.7931034564971924,0.8888888955116272,0.8878923654556274,0.8508691787719727,1.0,0.787109375,0.800000011920929,0.7586206793785095,0.8235294222831726,0.8235294222831726,0.800000011920929,0.861561119556427,0.8421052694320679,0.8761904835700989,0.6666666865348816,0.8867470026016235,1.0,0.8831169009208679,0.8510638475418091,0.8645161390304565,0.6896551847457886,0.8666666746139526,0.93631911277771,0.8333333134651184
Recall,0.75,0.9013120532035828,0.739130437374115,1.0,0.6764705777168274,0.8888888955116272,0.9840954542160034,0.8186619877815247,1.0,0.8292180895805359,0.6666666865348816,0.6111111044883728,0.699999988079071,0.699999988079071,0.6666666865348816,0.849056601524353,0.75,0.8070175647735596,0.5,0.9387755393981934,1.0,0.8831169009208679,0.7407407164573669,0.8121212124824524,0.5263158082962036,0.7647058963775635,0.9304589629173279,1.0
Precision,1.0,0.8997722268104553,0.9444444179534912,1.0,0.9583333134651184,0.8888888955116272,0.8088235259056091,0.8857142925262451,1.0,0.7490706443786621,1.0,1.0,1.0,1.0,1.0,0.8744394779205322,0.9599999785423279,0.9583333134651184,1.0,0.8401826620101929,1.0,0.8831169009208679,1.0,0.9241379499435425,1.0,1.0,0.9422535300254822,0.7142857313156128
