,Acc,AccTopThree,Precision,Recall,F1Score
Train,0.39710763394973914,0.7478070175438596,0.3522256,0.39710766,0.35011542
Test,0.42857989568515886,0.6681484115694641,0.42438656,0.42857987,0.40538108
