,clima/AC/on,media/selectedSource/Radio,car/charismaLevel/Tief,phone/Connect/NewDevice,clima/AC/ECO,car/charismaLevel/Mittel,car/driveMode/3.0,navi/Start/Favorite,car/Start/ParkAssistant,phone/goTo/Favorite,car/driveMode/3,phone/Call/PersonX,car/charismaLevel/Lift,car/ESS/on,car/driveMode/1.0,navi/Start/Address,car/driveMode/2.0,phone/Call/Favorite,car/driveMode/2,media/selectedSource/Bluetooth,car/charismaLevel/Abgesenkt,media/selectedSource/Favorite,clima/AC/off,media/selectedSource/CarPlay,phone/Start/AndroidAuto,phone/Start/CarPlay,car/driveMode/0.0,car/driveMode/0
Accuracy,0.0,0.5361279845237732,0.0,0.0,0.0,0.0,0.5227272510528564,0.13725490868091583,0.0,0.33891212940216064,0.0,0.0,0.0,0.0,0.02631578966975212,0.3429342806339264,0.0,0.19718310236930847,0.0,0.0,0.0,0.0,0.0,0.12891985476016998,0.0,0.0,0.5177514553070068,0.0
F1Score,0.0,0.5446903705596924,0.0,0.0,0.0,0.0,0.4842105209827423,0.07681755721569061,0.0,0.31889763474464417,0.0,0.0,0.0,0.0,0.029411764815449715,0.4280898869037628,0.0,0.2947368323802948,0.0,0.0,0.0,0.0,0.0,0.17129629850387573,0.0,0.0,0.6090487241744995,0.0
Recall,0.0,0.5361279845237732,0.0,0.0,0.0,0.0,0.5227272510528564,0.13725490868091583,0.0,0.33891212940216064,0.0,0.0,0.0,0.0,0.02631578966975212,0.3429342806339264,0.0,0.19718310236930847,0.0,0.0,0.0,0.0,0.0,0.12891985476016998,0.0,0.0,0.5177514553070068,0.0
Precision,0.0,0.553530752658844,0.0,0.0,0.0,0.0,0.45098039507865906,0.0533333346247673,0.0,0.3011152446269989,0.0,0.0,0.0,0.0,0.03333333507180214,0.5695067048072815,0.0,0.5833333134651184,0.0,0.0,0.0,0.0,0.0,0.25517240166664124,0.0,0.0,0.7394366264343262,0.0
