,Acc,AccTopThree,Precision,Recall,F1Score
Train,0.9282911944202267,0.9899738448125545,0.9336676,0.9282912,0.92360824
Test,0.8910200523103748,0.985178727114211,0.9012279,0.89102006,0.88667226
