,car/driveMode/2,media/selectedSource/Radio,navi/Start/Favorite,phone/Start/AndroidAuto,media/selectedSource/Bluetooth,car/driveMode/3,phone/Connect/NewDevice,media/selectedSource/CarPlay,car/driveMode/3.0,phone/Call/PersonX,car/charismaLevel/Abgesenkt,clima/AC/ECO,car/ESS/on,phone/Call/Favorite,car/charismaLevel/Lift,car/charismaLevel/Tief,navi/Start/Address,clima/AC/on,car/Start/ParkAssistant,car/driveMode/0,car/driveMode/2.0,car/driveMode/0.0,media/selectedSource/Favorite,car/driveMode/1.0,car/charismaLevel/Mittel,phone/Start/CarPlay,phone/goTo/Favorite,clima/AC/off
Accuracy,0.0,0.897991955280304,0.85550457239151,0.875,0.9382715821266174,0.6666666865348816,0.4000000059604645,0.8195488452911377,0.9784560203552246,0.59375,0.9285714030265808,0.6206896305084229,0.75,0.800000011920929,0.800000011920929,0.7599999904632568,0.8669527769088745,1.0,0.5,1.0,0.8333333134651184,0.9676945805549622,0.8642857074737549,0.8421052694320679,0.7647058963775635,0.9090909361839294,0.7972028255462646,0.8333333134651184
F1Score,0.0,0.9005235433578491,0.8745603561401367,0.9333333373069763,0.8760806918144226,0.800000011920929,0.5,0.8934426307678223,0.9252971410751343,0.7450980544090271,0.9629629850387573,0.7659574747085571,0.8571428656578064,0.8888888955116272,0.8888888955116272,0.8444444537162781,0.8849945068359375,1.0,0.6666666865348816,0.9230769276618958,0.9090909361839294,0.9461593627929688,0.8736461997032166,0.9142857193946838,0.8666666746139526,0.89552241563797,0.7799316048622131,0.9090909361839294
Recall,0.0,0.897991955280304,0.85550457239151,0.875,0.9382715821266174,0.6666666865348816,0.4000000059604645,0.8195488452911377,0.9784560203552246,0.59375,0.9285714030265808,0.6206896305084229,0.75,0.800000011920929,0.800000011920929,0.7599999904632568,0.8669527769088745,1.0,0.5,1.0,0.8333333134651184,0.9676945805549622,0.8642857074737549,0.8421052694320679,0.7647058963775635,0.9090909361839294,0.7972028255462646,0.8333333134651184
Precision,0.0,0.9030694961547852,0.8944844007492065,1.0,0.8216215968132019,1.0,0.6666666865348816,0.9819819927215576,0.8776167631149292,1.0,1.0,1.0,1.0,1.0,1.0,0.949999988079071,0.9038031101226807,1.0,1.0,0.8571428656578064,1.0,0.925561785697937,0.8832116723060608,1.0,1.0,0.8823529481887817,0.7633928656578064,1.0
