,Acc,AccTopThree,Precision,Recall,F1Score
Train,0.9483435047951178,0.9934612031386225,0.9493607,0.9483435,0.9434217
Test,0.8901482127288579,0.9867044463818657,0.9054963,0.8901482,0.88764894
