,media/selectedSource/Radio,phone/Call/Favorite,navi/Start/Favorite,phone/Connect/NewDevice,car/driveMode/0,phone/Start/CarPlay,car/driveMode/1.0,car/charismaLevel/Tief,car/charismaLevel/Lift,phone/goTo/Favorite,navi/Start/Address,phone/Call/PersonX,car/driveMode/3.0,car/charismaLevel/Mittel,clima/AC/on,car/charismaLevel/Abgesenkt,car/Start/ParkAssistant,phone/Start/AndroidAuto,media/selectedSource/Favorite,media/selectedSource/CarPlay,clima/AC/off,clima/AC/ECO,media/selectedSource/Bluetooth,car/ESS/on,car/driveMode/2.0,car/driveMode/3,car/driveMode/0.0,car/driveMode/2
Accuracy,0.9080645442008972,0.8780487775802612,0.8545454740524292,0.5,1.0,0.8684210777282715,0.7441860437393188,0.8333333134651184,0.6666666865348816,0.7622950673103333,0.8915929198265076,0.6428571343421936,0.9688644409179688,0.8125,1.0,0.9285714030265808,0.6666666865348816,0.7777777910232544,0.8376623392105103,0.8770492076873779,0.75,0.7083333134651184,0.9005848169326782,1.0,0.774193525314331,0.5,0.973724901676178,0.0
F1Score,0.9087974429130554,0.8888888955116272,0.8774795532226562,0.6666666865348816,0.9230769276618958,0.9166666865348816,0.8533333539962769,0.9090909361839294,0.800000011920929,0.7948718070983887,0.8965517282485962,0.7659574747085571,0.9065980911254883,0.8965517282485962,1.0,0.9629629850387573,0.800000011920929,0.875,0.8865979313850403,0.9184549450874329,0.75,0.8095238208770752,0.8651685118675232,1.0,0.8571428656578064,0.6666666865348816,0.9271523356437683,0.0
Recall,0.9080645442008972,0.8780487775802612,0.8545454740524292,0.5,1.0,0.8684210777282715,0.7441860437393188,0.8333333134651184,0.6666666865348816,0.7622950673103333,0.8915929198265076,0.6428571343421936,0.9688644409179688,0.8125,1.0,0.9285714030265808,0.6666666865348816,0.7777777910232544,0.8376623392105103,0.8770492076873779,0.75,0.7083333134651184,0.9005848169326782,1.0,0.774193525314331,0.5,0.973724901676178,0.0
Precision,0.9095314741134644,0.8999999761581421,0.9016786813735962,1.0,0.8571428656578064,0.970588207244873,1.0,1.0,1.0,0.8303571343421936,0.9015659689903259,0.9473684430122375,0.8518518805503845,1.0,1.0,1.0,1.0,1.0,0.9416058659553528,0.9639639854431152,0.75,0.9444444179534912,0.8324324488639832,1.0,0.9599999785423279,1.0,0.8848314881324768,0.0
